Active Epicor Part,part_number,title,manufacturer,type,category,subcategory,short_description,long_description,features,upc,height,width,length,weight,instructions,warranty,Image,Data Sheet,Brochure,"If individual part, price available?",NOTES: CS DEPT
Yes,68-209-586824,8' FRT II COMP W/BD (GG) & WHITE SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-586824 -  - 8' FRT II COMP W/BD (GG) & WHITE SPRING,"The Frontier II jump board is an introductory level combination, perfect for first time jump board buyers. The white stand can be paired with any color board to suit your poolscape and comes in two sizes so you can find the appropriate size for your diving pool. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 7""","20"" & 9""","98"" & 41""",104 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48686/frontier-ii-on-pool300dpi.jpg,,,,
Yes,68-209-58683,8' FRT II COMP W/BD (MB) & WHITE SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-58683 -  - 8' FRT II COMP W/BD (MB) & WHITE SPRING,"The Frontier II jump board is an introductory level combination, perfect for first time jump board buyers. The white stand can be paired with any color board to suit your poolscape and comes in two sizes so you can find the appropriate size for your diving pool. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 7""","20"" & 9""","98"" & 41""",104 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48686/frontier-ii-on-pool300dpi.jpg,,,,
Yes,68-209-58683T,8' FRT II COMP W/BD (MB) MT & WHITE SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-58683T -  - 8' FRT II COMP W/BD (MB) MT & WHITE SPRING,"The Frontier II jump board is an introductory level combination, perfect for first time jump board buyers. The white stand can be paired with any color board to suit your poolscape and comes in two sizes so you can find the appropriate size for your diving pool. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 7""","20"" & 9""","98"" & 41""",104 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48686/frontier-ii-on-pool300dpi.jpg,,,,
Yes,68-209-59610,606/608 COMP W/6' FRT III (TAUPE) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59610 -  - 606/608 COMP W/6' FRT III (TAUPE) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59610T,606/608 COMP W/6' FRT III (TAUPE) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59610T -  - 606/608 COMP W/6' FRT III (TAUPE) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-5962,606/608 COMP W/6' FRT III (RW) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-5962 -  - 606/608 COMP W/6' FRT III (RW) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59620,606/608 COMP W/6' FRT III (PG) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59620 -  - 606/608 COMP W/6' FRT III (PG) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59620T,606/608 COMP W/6' FRT III (PG) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59620T -  - 606/608 COMP W/6' FRT III (PG) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59621,606/608 COMP W/6' FRT III (SG) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59621 -  - 606/608 COMP W/6' FRT III (SG) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59621T,606/608 COMP W/6' FRT III (SG) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59621T -  - 606/608 COMP W/6' FRT III (SG) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-5963,606/608 COMP W/6' FRT III (MB) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-5963 -  - 606/608 COMP W/6' FRT III (MB) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-5963T,606/608 COMP W/6' FRT III (MB) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-5963T -  - 606/608 COMP W/6' FRT III (MB) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","74"" & 16"" & 33""",132 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59810,606/608 COMP W/8' FRT III (TAUPE) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59810 -  - 606/608 COMP W/8' FRT III (TAUPE) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59810T,606/608 COMP W/8' FRT III (TAUPE) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59810T -  - 606/608 COMP W/8' FRT III (TAUPE) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-5982,606/608 COMP W/8' FRT III (RW) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-5982 -  - 606/608 COMP W/8' FRT III (RW) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59820,606/608 COMP W/8' FRT III (PG) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59820 -  - 606/608 COMP W/8' FRT III (PG) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59820T,606/608 COMP W/8' FRT III (PG) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59820T -  - 606/608 COMP W/8' FRT III (PG) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59821,606/608 COMP W/8' FRT III (SG) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59821 -  - 606/608 COMP W/8' FRT III (SG) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-59821T,606/608 COMP W/8' FRT III (SG) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-59821T -  - 606/608 COMP W/8' FRT III (SG) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-5983,606/608 COMP W/8' FRT III (MB) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-5983 -  - 606/608 COMP W/8' FRT III (MB) & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-5983T,606/608 COMP W/8' FRT III (MB) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-5983T -  - 606/608 COMP W/8' FRT III (MB) MT & WHITE STAND/SPRING,"The Cantilever is our premium jump board, manufactured of heavy-duty metal. The Cantilever comes in two sizes so you can find the proper size for your diving pool. Available in a variety of designer and premium colors that blend into your backyard decor. From the powder coated steel to the durable scratch-resistant acrylic this jump board is built to last for years. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread. Sandstone board comes with Taupe base and springs.,8.40671E+11,"3"" & 12"" & 4""","20"" & 14"" & 18""","98"" & 16"" & 41""",163 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/48336/cantilever-on-pool_2_300dpi.jpg,,,,
Yes,68-209-61610,656/658 COMP W/6' FRT III (TAUPE) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61610 -  - 656/658 COMP W/6' FRT III (TAUPE) & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61610T,656/658 COMP W/6' FRT III (TAUPE) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61610T -  - 656/658 COMP W/6' FRT III (TAUPE) MT & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-6162,656/658 COMP W/6' FRT III (RW) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-6162 -  - 656/658 COMP W/6' FRT III (RW) & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61620,656/658 COMP W/6' FRT III (PG) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61620 -  - 656/658 COMP W/6' FRT III (PG) & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61620T,656/658 COMP W/6' FRT III (PG) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61620T -  - 656/658 COMP W/6' FRT III (PG) MT & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61621,656/658 COMP W/6' FRT III (SG) & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61621 -  - 656/658 COMP W/6' FRT III (SG) & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61621T,656/658 COMP W/6' FRT III (SG) MT & WHITE STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61621T -  - 656/658 COMP W/6' FRT III (SG) MT & WHITE STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61623,656/658 COMP W/6' FRT III (PEBBLE) MATCHING STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61623 -  - 656/658 COMP W/6' FRT III (PEBBLE) MATCHING STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
Yes,68-209-61624,656/658 COMP W/6' FRT III (GRAY GRANITE) MATCHING STAND/SPRING,S.R. Smith,Deck Accessories,Diving,,68-209-61624 -  - 656/658 COMP W/6' FRT III (GRAY GRANITE) MATCHING STAND/SPRING,"The Supreme is a top of the line jump board, made of a high-quality composite material. The Supreme comes in two sizes so you can find the proper size for your diving pool. Available in three designer colors that blend into your backyard decor, the durable scratch resistant acrylic ensures that you will get years of use out of your board. Each diving board features a high-grade, slip-resistant sand tread for maximum safety, and comes with an instructional diving video to promote safety when diving in your pool. ",Length: 6' or 8'. Weight limit: 250 lbs. Boards available with white or matching tread.,8.40671E+11,"3"" & 10"" & 4""","20"" & 18"" & 18""","74"" & 18"" & 33""",94 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/50648/supreme-on-pool300dpi.jpg,,,,
